[DEBUG] 2020-02-17 11:05:03.568 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-17 11:05:03.569 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-17 11:05:03.573 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-17 11:05:03.645 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-17 11:05:03.649 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-17 11:05:03.819 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-17 11:05:04.115 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-17 11:05:04.139 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-17 11:05:04.140 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-17 11:05:04.156 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-17 11:05:04.193 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7d5508e0
[DEBUG] 2020-02-17 11:05:04.193 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7d5508e0
[DEBUG] 2020-02-17 11:05:04.193 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7d5508e0
[DEBUG] 2020-02-17 11:05:04.193 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@367d2816
[DEBUG] 2020-02-17 11:05:04.194 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@379ce046
[DEBUG] 2020-02-17 11:05:04.195 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@77e7246b
[DEBUG] 2020-02-17 11:05:04.195 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7eb6b6b6
[DEBUG] 2020-02-17 11:05:04.195 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7eb6b6b6
[DEBUG] 2020-02-17 11:05:04.195 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7eb6b6b6
[DEBUG] 2020-02-17 11:05:04.196 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@61dde151
[DEBUG] 2020-02-17 11:05:04.196 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@61dde151
[DEBUG] 2020-02-17 11:05:04.197 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@61dde151
[DEBUG] 2020-02-17 11:05:04.197 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6ffa56fa
[DEBUG] 2020-02-17 11:05:04.197 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6ffa56fa
[DEBUG] 2020-02-17 11:05:04.198 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@6ffa56fa
[DEBUG] 2020-02-17 11:05:04.198 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@6f6621e3
[DEBUG] 2020-02-17 11:05:04.199 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@6f6621e3
[DEBUG] 2020-02-17 11:05:04.199 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6f6621e3
[DEBUG] 2020-02-17 11:05:04.199 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5496c165
[DEBUG] 2020-02-17 11:05:04.200 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5496c165
[DEBUG] 2020-02-17 11:05:04.200 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5496c165
[DEBUG] 2020-02-17 11:05:04.201 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@50d951e7
[DEBUG] 2020-02-17 11:05:04.201 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@50d951e7
[DEBUG] 2020-02-17 11:05:04.201 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@50d951e7
[DEBUG] 2020-02-17 11:05:04.203 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@588307f7
[DEBUG] 2020-02-17 11:05:04.203 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@588307f7
[DEBUG] 2020-02-17 11:05:04.203 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@588307f7
[DEBUG] 2020-02-17 11:05:04.203 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@7acfb656
[DEBUG] 2020-02-17 11:05:04.204 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@7acfb656
[DEBUG] 2020-02-17 11:05:04.204 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@52cb4f50
[DEBUG] 2020-02-17 11:05:04.205 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@52cb4f50
[DEBUG] 2020-02-17 11:05:04.206 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@572e6fd9
[DEBUG] 2020-02-17 11:05:04.207 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@572e6fd9
[DEBUG] 2020-02-17 11:05:04.207 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@12abdfb
[DEBUG] 2020-02-17 11:05:04.207 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@68577ba8
[DEBUG] 2020-02-17 11:05:04.208 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@43f0c2d1
[DEBUG] 2020-02-17 11:05:04.208 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@43f0c2d1
[DEBUG] 2020-02-17 11:05:04.209 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@1c5c616f
[DEBUG] 2020-02-17 11:05:04.209 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@1c5c616f
[DEBUG] 2020-02-17 11:05:04.214 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@1e530163
[DEBUG] 2020-02-17 11:05:04.214 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@1e530163
[DEBUG] 2020-02-17 11:05:04.216 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@23706db8
[DEBUG] 2020-02-17 11:05:04.216 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@23706db8
[DEBUG] 2020-02-17 11:05:04.217 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@7bca6fac
[DEBUG] 2020-02-17 11:05:04.217 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@7bca6fac
[DEBUG] 2020-02-17 11:05:04.218 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@31d6f3fe
[DEBUG] 2020-02-17 11:05:04.218 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@31d6f3fe
[DEBUG] 2020-02-17 11:05:04.219 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@165e389b
[DEBUG] 2020-02-17 11:05:04.219 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@165e389b
