[DEBUG] 2020-02-17 11:07:11.233 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-17 11:07:11.234 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-17 11:07:11.243 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-17 11:07:11.298 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-17 11:07:11.301 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-17 11:07:11.444 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-17 11:07:11.734 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-17 11:07:11.766 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-17 11:07:11.767 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-17 11:07:11.781 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-17 11:07:11.804 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@336880df
[DEBUG] 2020-02-17 11:07:11.804 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@336880df
[DEBUG] 2020-02-17 11:07:11.804 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@336880df
[DEBUG] 2020-02-17 11:07:11.804 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@75fc1992
[DEBUG] 2020-02-17 11:07:11.805 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7be7e15
[DEBUG] 2020-02-17 11:07:11.805 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@4248b963
[DEBUG] 2020-02-17 11:07:11.806 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@72725ee1
[DEBUG] 2020-02-17 11:07:11.806 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@72725ee1
[DEBUG] 2020-02-17 11:07:11.808 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@72725ee1
[DEBUG] 2020-02-17 11:07:11.809 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@249e0271
[DEBUG] 2020-02-17 11:07:11.809 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@249e0271
[DEBUG] 2020-02-17 11:07:11.810 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@249e0271
[DEBUG] 2020-02-17 11:07:11.810 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3bfc6a5e
[DEBUG] 2020-02-17 11:07:11.811 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3bfc6a5e
[DEBUG] 2020-02-17 11:07:11.811 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3bfc6a5e
[DEBUG] 2020-02-17 11:07:11.812 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@3964d79
[DEBUG] 2020-02-17 11:07:11.812 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@3964d79
[DEBUG] 2020-02-17 11:07:11.812 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@3964d79
[DEBUG] 2020-02-17 11:07:11.813 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4acb2510
[DEBUG] 2020-02-17 11:07:11.813 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4acb2510
[DEBUG] 2020-02-17 11:07:11.813 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4acb2510
[DEBUG] 2020-02-17 11:07:11.814 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7a904f32
[DEBUG] 2020-02-17 11:07:11.814 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7a904f32
[DEBUG] 2020-02-17 11:07:11.814 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7a904f32
[DEBUG] 2020-02-17 11:07:11.814 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4339e0de
[DEBUG] 2020-02-17 11:07:11.816 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4339e0de
[DEBUG] 2020-02-17 11:07:11.816 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4339e0de
[DEBUG] 2020-02-17 11:07:11.817 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@27b2faa6
[DEBUG] 2020-02-17 11:07:11.817 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@27b2faa6
[DEBUG] 2020-02-17 11:07:11.818 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@75a118e6
[DEBUG] 2020-02-17 11:07:11.818 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@75a118e6
[DEBUG] 2020-02-17 11:07:11.819 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@6bda1d19
[DEBUG] 2020-02-17 11:07:11.819 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@6bda1d19
[DEBUG] 2020-02-17 11:07:11.819 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@37b57b54
[DEBUG] 2020-02-17 11:07:11.820 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7be71476
[DEBUG] 2020-02-17 11:07:11.820 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@154bd49b
[DEBUG] 2020-02-17 11:07:11.820 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@154bd49b
